task1,task2,localizer1,localizer2,froi1,froi2,overlap,subject
SWNloc,SWNloc,S-N,S-N,5,2,0.0,040
SWNloc,SWNloc,S-N,S-N,5,3,0.0,040
SWNloc,SWNloc,S-N,S-N,5,4,0.0,040
SWNloc,SWNloc,S-N,S-N,5,5,0.050724637681159424,040
SWNloc,SWNloc,S-N,S-N,5,6,0.0,040
SWNloc,SWNloc,S-N,S-N,6,1,0.0,040
SWNloc,SWNloc,S-N,S-N,6,2,0.0,040
SWNloc,SWNloc,S-N,S-N,6,3,0.0,040
SWNloc,SWNloc,S-N,S-N,6,4,0.0,040
SWNloc,SWNloc,S-N,S-N,6,5,0.0,040
SWNloc,SWNloc,S-N,S-N,6,6,0.12612612612612611,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,1,0.21910112359550563,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,2,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,3,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,4,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,5,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,6,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,7,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,8,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,9,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,10,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,1,11,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,1,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,2,0.14655172413793102,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,3,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,4,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,5,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,6,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,7,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,8,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,9,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,10,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,2,11,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,1,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,2,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,3,0.11049723756906077,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,4,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,5,0.0,040
