froi,fisher_z,froi_run,effect1_run,effect2_run,subject
LPostTemp,-0.03473166704430005,orth1,1,all,089
LPostTemp,0.23150565452187719,orth2,2,all,089
LPostTemp,-0.49206412872995525,orth3,3,all,089
LAngG,-0.18648687008115336,orth1,1,all,089
LAngG,-0.08718122951742889,orth2,2,all,089
LAngG,-0.0939340621498403,orth3,3,all,089
LIFG_orb,-0.1163054443672922,orth1,1,all,076
LIFG_orb,0.58239879120989,orth2,2,all,076
LIFG_orb,0.017550205707795006,orth3,3,all,076
LIFG,-0.24088695997291373,orth1,1,all,076
LIFG,0.6452133247880735,orth2,2,all,076
LIFG,-0.5778432944615295,orth3,3,all,076
LMFG,-0.34209921872664223,orth1,1,all,076
LMFG,-0.29466685508880724,orth2,2,all,076
LMFG,0.047122947220484726,orth3,3,all,076
LAntTemp,0.3308509109034782,orth1,1,all,076
LAntTemp,0.4654948960031326,orth2,2,all,076
LAntTemp,0.2111791455434551,orth3,3,all,076
LPostTemp,0.8207367667107782,orth1,1,all,076
LPostTemp,0.7663321547426404,orth2,2,all,076
LPostTemp,0.4503363005071476,orth3,3,all,076
LAngG,-0.2616092053507632,orth1,1,all,076
LAngG,0.8202071162475573,orth2,2,all,076
LAngG,-0.4495560968585256,orth3,3,all,076
