froi1,froi2,overlap,subject
4,11,0.0,057
5,1,0.0,057
5,2,0.0,057
5,3,0.0,057
5,4,0.0,057
5,5,0.11440677966101695,057
5,6,0.0,057
5,7,0.0,057
5,8,0.0,057
5,9,0.0,057
5,10,0.0,057
5,11,0.0,057
6,1,0.0,057
6,2,0.0,057
6,3,0.0,057
6,4,0.0,057
6,5,0.0,057
6,6,0.24489795918367346,057
6,7,0.0,057
6,8,0.0,057
6,9,0.0,057
6,10,0.0,057
6,11,0.0,057
7,1,0.0,057
7,2,0.0,057
7,3,0.0,057
7,4,0.0,057
7,5,0.0,057
7,6,0.0,057
7,7,0.16304347826086957,057
7,8,0.0,057
7,9,0.0,057
7,10,0.0,057
7,11,0.0,057
8,1,0.0,057
8,2,0.0,057
8,3,0.0,057
8,4,0.0,057
8,5,0.0,057
8,6,0.0,057
8,7,0.0,057
8,8,0.23831775700934577,057
8,9,0.0,057
8,10,0.0,057
8,11,0.0,057
9,1,0.0,057
9,2,0.0,057
9,3,0.0,057
9,4,0.0,057
9,5,0.0,057
9,6,0.0,057
9,7,0.0,057
9,8,0.0,057
9,9,0.06153846153846154,057
9,10,0.0,057
9,11,0.0,057
10,1,0.0,057
10,2,0.0,057
10,3,0.0,057
10,4,0.0,057
10,5,0.0,057
10,6,0.0,057
10,7,0.0,057
10,8,0.0,057
10,9,0.0,057
10,10,0.13793103448275862,057
10,11,0.0,057
11,1,0.0,057
11,2,0.0,057
11,3,0.0,057
11,4,0.0,057
11,5,0.0,057
11,6,0.0,057
11,7,0.0,057
11,8,0.0,057
11,9,0.0,057
11,10,0.0,057
11,11,0.00909090909090909,057
1,1,0.23595505617977527,059
1,2,0.0,059
1,3,0.0,059
1,4,0.0,059
1,5,0.0,059
1,6,0.0,059
1,7,0.0,059
1,8,0.0,059
1,9,0.0,059
1,10,0.0,059
1,11,0.0,059
2,1,0.0,059
2,2,0.11206896551724138,059
2,3,0.0,059
2,4,0.0,059
2,5,0.0,059
2,6,0.0,059
2,7,0.0,059
2,8,0.0,059
2,9,0.0,059
2,10,0.0,059
2,11,0.0,059
3,1,0.0,059
3,2,0.0,059
3,3,0.511049723756906,059
3,4,0.0,059
3,5,0.0,059
3,6,0.0,059
3,7,0.0,059
3,8,0.0,059
3,9,0.0,059
3,10,0.0,059
3,11,0.0,059
4,1,0.0,059
4,2,0.0,059
4,3,0.0,059
4,4,0.448,059
4,5,0.0,059
4,6,0.0,059
4,7,0.0,059
4,8,0.0,059
4,9,0.0,059
4,10,0.0,059
4,11,0.0,059
5,1,0.0,059
5,2,0.0,059
5,3,0.0,059
5,4,0.0,059
5,5,0.0635593220338983,059
5,6,0.0,059
5,7,0.0,059
5,8,0.0,059
5,9,0.0,059
5,10,0.0,059
5,11,0.0,059
6,1,0.0,059
6,2,0.0,059
6,3,0.0,059
6,4,0.0,059
6,5,0.0,059
6,6,0.4846938775510204,059
6,7,0.0,059
6,8,0.0,059
6,9,0.0,059
6,10,0.0,059
6,11,0.0,059
7,1,0.0,059
7,2,0.0,059
7,3,0.0,059
7,4,0.0,059
7,5,0.0,059
7,6,0.0,059
7,7,0.2608695652173913,059
7,8,0.0,059
7,9,0.0,059
7,10,0.0,059
7,11,0.0,059
8,1,0.0,059
8,2,0.0,059
8,3,0.0,059
8,4,0.0,059
8,5,0.0,059
8,6,0.0,059
8,7,0.0,059
8,8,0.2523364485981308,059
8,9,0.0,059
8,10,0.0,059
8,11,0.0,059
9,1,0.0,059
9,2,0.0,059
9,3,0.0,059
9,4,0.0,059
9,5,0.0,059
9,6,0.0,059
9,7,0.0,059
9,8,0.0,059
9,9,0.2153846153846154,059
9,10,0.0,059
9,11,0.0,059
10,1,0.0,059
