froi1,froi2,overlap,run1,run2,subject
7,10,0.0,2,orth2,040
7,11,0.0,2,orth2,040
8,1,0.0,2,orth2,040
8,2,0.0,2,orth2,040
8,3,0.0,2,orth2,040
8,4,0.0,2,orth2,040
8,5,0.0,2,orth2,040
8,6,0.0,2,orth2,040
8,7,0.0,2,orth2,040
8,8,0.09345794392523364,2,orth2,040
8,9,0.0,2,orth2,040
8,10,0.0,2,orth2,040
8,11,0.0,2,orth2,040
9,1,0.0,2,orth2,040
9,2,0.0,2,orth2,040
9,3,0.0,2,orth2,040
9,4,0.0,2,orth2,040
9,5,0.0,2,orth2,040
9,6,0.0,2,orth2,040
9,7,0.0,2,orth2,040
9,8,0.0,2,orth2,040
9,9,0.046153846153846156,2,orth2,040
9,10,0.0,2,orth2,040
9,11,0.0,2,orth2,040
10,1,0.0,2,orth2,040
10,2,0.0,2,orth2,040
10,3,0.0,2,orth2,040
10,4,0.0,2,orth2,040
10,5,0.0,2,orth2,040
10,6,0.0,2,orth2,040
10,7,0.0,2,orth2,040
10,8,0.0,2,orth2,040
10,9,0.0,2,orth2,040
10,10,0.20689655172413793,2,orth2,040
10,11,0.0,2,orth2,040
11,1,0.0,2,orth2,040
11,2,0.0,2,orth2,040
11,3,0.0,2,orth2,040
11,4,0.0,2,orth2,040
11,5,0.0,2,orth2,040
11,6,0.0,2,orth2,040
11,7,0.0,2,orth2,040
11,8,0.0,2,orth2,040
11,9,0.0,2,orth2,040
11,10,0.0,2,orth2,040
11,11,0.09090909090909091,2,orth2,040
1,1,0.5449438202247191,orth1,1,057
1,2,0.0,orth1,1,057
1,3,0.0,orth1,1,057
1,4,0.0,orth1,1,057
1,5,0.0,orth1,1,057
1,6,0.0,orth1,1,057
1,7,0.0,orth1,1,057
1,8,0.0,orth1,1,057
1,9,0.0,orth1,1,057
1,10,0.0,orth1,1,057
1,11,0.0,orth1,1,057
2,1,0.0,orth1,1,057
2,2,0.21551724137931033,orth1,1,057
2,3,0.0,orth1,1,057
2,4,0.0,orth1,1,057
2,5,0.0,orth1,1,057
2,6,0.0,orth1,1,057
2,7,0.0,orth1,1,057
2,8,0.0,orth1,1,057
2,9,0.0,orth1,1,057
2,10,0.0,orth1,1,057
2,11,0.0,orth1,1,057
3,1,0.0,orth1,1,057
3,2,0.0,orth1,1,057
3,3,0.18232044198895028,orth1,1,057
3,4,0.0,orth1,1,057
3,5,0.0,orth1,1,057
3,6,0.0,orth1,1,057
3,7,0.0,orth1,1,057
3,8,0.0,orth1,1,057
3,9,0.0,orth1,1,057
3,10,0.0,orth1,1,057
3,11,0.0,orth1,1,057
4,1,0.0,orth1,1,057
4,2,0.0,orth1,1,057
4,3,0.0,orth1,1,057
4,4,0.288,orth1,1,057
4,5,0.0,orth1,1,057
4,6,0.0,orth1,1,057
4,7,0.0,orth1,1,057
4,8,0.0,orth1,1,057
4,9,0.0,orth1,1,057
4,10,0.0,orth1,1,057
4,11,0.0,orth1,1,057
5,1,0.0,orth1,1,057
5,2,0.0,orth1,1,057
5,3,0.0,orth1,1,057
5,4,0.0,orth1,1,057
5,5,0.11864406779661017,orth1,1,057
5,6,0.0,orth1,1,057
5,7,0.0,orth1,1,057
5,8,0.0,orth1,1,057
5,9,0.0,orth1,1,057
5,10,0.0,orth1,1,057
5,11,0.0,orth1,1,057
6,1,0.0,orth1,1,057
6,2,0.0,orth1,1,057
6,3,0.0,orth1,1,057
6,4,0.0,orth1,1,057
6,5,0.0,orth1,1,057
6,6,0.2653061224489796,orth1,1,057
6,7,0.0,orth1,1,057
6,8,0.0,orth1,1,057
6,9,0.0,orth1,1,057
6,10,0.0,orth1,1,057
6,11,0.0,orth1,1,057
7,1,0.0,orth1,1,057
7,2,0.0,orth1,1,057
7,3,0.0,orth1,1,057
7,4,0.0,orth1,1,057
7,5,0.0,orth1,1,057
7,6,0.0,orth1,1,057
7,7,0.10869565217391304,orth1,1,057
7,8,0.0,orth1,1,057
7,9,0.0,orth1,1,057
7,10,0.0,orth1,1,057
7,11,0.0,orth1,1,057
8,1,0.0,orth1,1,057
8,2,0.0,orth1,1,057
8,3,0.0,orth1,1,057
8,4,0.0,orth1,1,057
8,5,0.0,orth1,1,057
8,6,0.0,orth1,1,057
8,7,0.0,orth1,1,057
8,8,0.308411214953271,orth1,1,057
8,9,0.0,orth1,1,057
8,10,0.0,orth1,1,057
8,11,0.0,orth1,1,057
9,1,0.0,orth1,1,057
9,2,0.0,orth1,1,057
9,3,0.0,orth1,1,057
9,4,0.0,orth1,1,057
9,5,0.0,orth1,1,057
9,6,0.0,orth1,1,057
9,7,0.0,orth1,1,057
9,8,0.0,orth1,1,057
9,9,0.0,orth1,1,057
9,10,0.0,orth1,1,057
9,11,0.0,orth1,1,057
10,1,0.0,orth1,1,057
10,2,0.0,orth1,1,057
10,3,0.0,orth1,1,057
10,4,0.0,orth1,1,057
10,5,0.0,orth1,1,057
10,6,0.0,orth1,1,057
10,7,0.0,orth1,1,057
10,8,0.0,orth1,1,057
10,9,0.0,orth1,1,057
10,10,0.06896551724137931,orth1,1,057
10,11,0.0,orth1,1,057
11,1,0.0,orth1,1,057
11,2,0.0,orth1,1,057
11,3,0.0,orth1,1,057
11,4,0.0,orth1,1,057
11,5,0.0,orth1,1,057
11,6,0.0,orth1,1,057
11,7,0.0,orth1,1,057
11,8,0.0,orth1,1,057
11,9,0.0,orth1,1,057
11,10,0.0,orth1,1,057
11,11,0.0,orth1,1,057
1,1,0.4101123595505618,orth2,2,057
1,2,0.0,orth2,2,057
1,3,0.0,orth2,2,057
1,4,0.0,orth2,2,057
1,5,0.0,orth2,2,057
1,6,0.0,orth2,2,057
1,7,0.0,orth2,2,057
1,8,0.0,orth2,2,057
1,9,0.0,orth2,2,057
1,10,0.0,orth2,2,057
1,11,0.0,orth2,2,057
2,1,0.0,orth2,2,057
2,2,0.10344827586206896,orth2,2,057
2,3,0.0,orth2,2,057
2,4,0.0,orth2,2,057
2,5,0.0,orth2,2,057
2,6,0.0,orth2,2,057
2,7,0.0,orth2,2,057
2,8,0.0,orth2,2,057
2,9,0.0,orth2,2,057
2,10,0.0,orth2,2,057
2,11,0.0,orth2,2,057
3,1,0.0,orth2,2,057
3,2,0.0,orth2,2,057
3,3,0.03867403314917127,orth2,2,057
3,4,0.0,orth2,2,057
3,5,0.0,orth2,2,057
3,6,0.0,orth2,2,057
3,7,0.0,orth2,2,057
3,8,0.0,orth2,2,057
3,9,0.0,orth2,2,057
3,10,0.0,orth2,2,057
3,11,0.0,orth2,2,057
4,1,0.0,orth2,2,057
4,2,0.0,orth2,2,057
4,3,0.0,orth2,2,057
4,4,0.112,orth2,2,057
4,5,0.0,orth2,2,057
