subject,froi_size,froi,task,contrast,effect_size
068,46.0,5,EventsOrig,Sem_photo,1.4852152927576199
068,37.0,6,EventsOrig,Sem_photo,0.6661238846545284
068,294.0,1,EventsOrig,Perc_photo,-0.13812519227262257
068,162.0,2,EventsOrig,Perc_photo,-0.8735215341511332
068,64.0,3,EventsOrig,Perc_photo,0.014152688207104802
068,74.0,4,EventsOrig,Perc_photo,0.15297550003270846
068,46.0,5,EventsOrig,Perc_photo,0.8583873817292245
068,37.0,6,EventsOrig,Perc_photo,0.15491036104189382
068,294.0,1,EventsOrig,Sem_sent,1.3552631200829737
068,162.0,2,EventsOrig,Sem_sent,-0.22198847906641017
068,64.0,3,EventsOrig,Sem_sent,1.5739788839127868
068,74.0,4,EventsOrig,Sem_sent,1.4024734144677986
068,46.0,5,EventsOrig,Sem_sent,1.8921889131483824
068,37.0,6,EventsOrig,Sem_sent,0.5540519646696143
068,294.0,1,EventsOrig,Perc_sent,0.21279430064391724
068,162.0,2,EventsOrig,Perc_sent,-1.0235903059810767
068,64.0,3,EventsOrig,Perc_sent,-0.08798093255609274
068,74.0,4,EventsOrig,Perc_sent,0.2702229002843032
068,46.0,5,EventsOrig,Perc_sent,1.357736114088608
068,37.0,6,EventsOrig,Perc_sent,-0.4219636325095151
019,294.0,1,SWNloc,S,0.752483492459832
019,162.0,2,SWNloc,S,0.6197683949345902
019,64.0,3,SWNloc,S,0.4726986169007432
019,74.0,4,SWNloc,S,1.5448969476164092
019,46.0,5,SWNloc,S,1.3533126917917389
019,37.0,6,SWNloc,S,1.7722051275541653
019,294.0,1,SWNloc,W,0.351028971385617
019,162.0,2,SWNloc,W,0.3936135707434589
019,64.0,3,SWNloc,W,0.2415342474996578
019,74.0,4,SWNloc,W,0.8556261905846564
019,46.0,5,SWNloc,W,0.8820548178830548
019,37.0,6,SWNloc,W,0.8679359021621782
019,294.0,1,SWNloc,N,-0.01982981657746432
019,162.0,2,SWNloc,N,-0.007862441305577977
019,64.0,3,SWNloc,N,-0.11823822940884081
019,74.0,4,SWNloc,N,0.3673999129788245
019,46.0,5,SWNloc,N,0.1924869196921371
019,37.0,6,SWNloc,N,0.47389600677667437
019,294.0,1,EventsOrig,Sem_photo,-0.12689015326932782
019,162.0,2,EventsOrig,Sem_photo,0.08927309623471012
019,64.0,3,EventsOrig,Sem_photo,-0.44062047463376075
019,74.0,4,EventsOrig,Sem_photo,-0.17564156721975352
019,46.0,5,EventsOrig,Sem_photo,-0.08014962976069553
019,37.0,6,EventsOrig,Sem_photo,-0.784273087575629
019,294.0,1,EventsOrig,Perc_photo,0.08877304824208523
019,162.0,2,EventsOrig,Perc_photo,0.2319042396352247
019,64.0,3,EventsOrig,Perc_photo,-0.09215986981871538
019,74.0,4,EventsOrig,Perc_photo,0.44945636869886435
019,46.0,5,EventsOrig,Perc_photo,-0.15693016479844632
019,37.0,6,EventsOrig,Perc_photo,-0.21670981008257414
019,294.0,1,EventsOrig,Sem_sent,-0.45419868103348887
019,162.0,2,EventsOrig,Sem_sent,-0.11054650718277251
019,64.0,3,EventsOrig,Sem_sent,-0.33706941053969786
019,74.0,4,EventsOrig,Sem_sent,-0.684837864862906
019,46.0,5,EventsOrig,Sem_sent,-0.6672989816769309
019,37.0,6,EventsOrig,Sem_sent,-1.449061152097341
019,294.0,1,EventsOrig,Perc_sent,0.2754431212587016
019,162.0,2,EventsOrig,Perc_sent,0.3362283515456466
019,64.0,3,EventsOrig,Perc_sent,-0.13523616222664714
019,74.0,4,EventsOrig,Perc_sent,0.21704592857811902
019,46.0,5,EventsOrig,Perc_sent,0.04142206133869679
019,37.0,6,EventsOrig,Perc_sent,0.16964713826372818
070,294.0,1,SWNloc,S,2.267614523183276
070,162.0,2,SWNloc,S,0.9835832763143236
070,64.0,3,SWNloc,S,0.7665819387232963
070,74.0,4,SWNloc,S,2.0280838439514786
070,46.0,5,SWNloc,S,2.9508873659955417
070,37.0,6,SWNloc,S,2.569814573671367
070,294.0,1,SWNloc,W,2.1139254432779793
070,162.0,2,SWNloc,W,0.7179775954120688
070,64.0,3,SWNloc,W,0.4573547349209548
070,74.0,4,SWNloc,W,0.7757923644841522
070,46.0,5,SWNloc,W,2.1894507647856423
070,37.0,6,SWNloc,W,2.2474875079618917
070,294.0,1,SWNloc,N,1.32018877055534
070,162.0,2,SWNloc,N,0.2598257672452222
070,64.0,3,SWNloc,N,-0.07852936262618944
070,74.0,4,SWNloc,N,0.591683883895376
070,46.0,5,SWNloc,N,1.2600932253079247
070,37.0,6,SWNloc,N,2.0065147352765673
070,294.0,1,EventsOrig,Sem_photo,0.7985416667751309
070,162.0,2,EventsOrig,Sem_photo,0.24736143202509409
070,64.0,3,EventsOrig,Sem_photo,0.6998068527318537
070,74.0,4,EventsOrig,Sem_photo,1.0650598308121837
070,46.0,5,EventsOrig,Sem_photo,0.7448129054644833
070,37.0,6,EventsOrig,Sem_photo,1.5823405062830127
070,294.0,1,EventsOrig,Perc_photo,-0.14477369537716414
070,162.0,2,EventsOrig,Perc_photo,-0.6201406208752298
070,64.0,3,EventsOrig,Perc_photo,-0.1873314551776275
070,74.0,4,EventsOrig,Perc_photo,-0.8091229578429783
