subject,froi,task1,task2,effect1,effect2,fisher_z
040,LIFG_orb,EventsOrig,SWNloc,Perc_photo,W,-0.015748349811119042
040,LIFG,EventsOrig,SWNloc,Perc_photo,W,0.21056122278504588
040,LMFG,EventsOrig,SWNloc,Perc_photo,W,-0.5954429855738261
040,LAntTemp,EventsOrig,SWNloc,Perc_photo,W,0.7959946037199012
040,LPostTemp,EventsOrig,SWNloc,Perc_photo,W,1.3895616339683563
040,LAngG,EventsOrig,SWNloc,Perc_photo,W,-0.09646160231748432
040,LIFG_orb,EventsOrig,SWNloc,Perc_photo,N,0.1936086918782273
040,LIFG,EventsOrig,SWNloc,Perc_photo,N,0.21714722965528138
040,LMFG,EventsOrig,SWNloc,Perc_photo,N,-0.6905516412201849
040,LAntTemp,EventsOrig,SWNloc,Perc_photo,N,0.8057302653928838
040,LPostTemp,EventsOrig,SWNloc,Perc_photo,N,1.5429529906333679
040,LAngG,EventsOrig,SWNloc,Perc_photo,N,0.005192683807345601
040,LIFG_orb,EventsOrig,EventsOrig,Perc_photo,Sem_photo,0.5006748046775904
040,LIFG,EventsOrig,EventsOrig,Perc_photo,Sem_photo,-0.005983755655207534
040,LMFG,EventsOrig,EventsOrig,Perc_photo,Sem_photo,0.3598905245073395
040,LAntTemp,EventsOrig,EventsOrig,Perc_photo,Sem_photo,0.38521358227797176
040,LPostTemp,EventsOrig,EventsOrig,Perc_photo,Sem_photo,1.0210023630009142
040,LAngG,EventsOrig,EventsOrig,Perc_photo,Sem_photo,-0.0368800828105148
040,LIFG_orb,EventsOrig,EventsOrig,Perc_photo,Perc_photo,0.3855917425052887
040,LIFG,EventsOrig,EventsOrig,Perc_photo,Perc_photo,-0.47388742136463546
040,LMFG,EventsOrig,EventsOrig,Perc_photo,Perc_photo,0.28040227246639704
040,LAntTemp,EventsOrig,EventsOrig,Perc_photo,Perc_photo,0.32856563177965153
040,LPostTemp,EventsOrig,EventsOrig,Perc_photo,Perc_photo,0.9491492307794238
040,LAngG,EventsOrig,EventsOrig,Perc_photo,Perc_photo,-0.43879857585051285
040,LIFG_orb,EventsOrig,EventsOrig,Perc_photo,Sem_sent,0.20533882432180586
040,LIFG,EventsOrig,EventsOrig,Perc_photo,Sem_sent,0.06000610117328767
040,LMFG,EventsOrig,EventsOrig,Perc_photo,Sem_sent,0.18572405887996307
040,LAntTemp,EventsOrig,EventsOrig,Perc_photo,Sem_sent,0.5755581065079587
040,LPostTemp,EventsOrig,EventsOrig,Perc_photo,Sem_sent,1.0139135939832165
040,LAngG,EventsOrig,EventsOrig,Perc_photo,Sem_sent,-0.04834696382560161
040,LIFG_orb,EventsOrig,EventsOrig,Perc_photo,Perc_sent,0.3420490020759436
040,LIFG,EventsOrig,EventsOrig,Perc_photo,Perc_sent,-0.30920060191156085
040,LMFG,EventsOrig,EventsOrig,Perc_photo,Perc_sent,0.07751256271638407
040,LAntTemp,EventsOrig,EventsOrig,Perc_photo,Perc_sent,0.19859721557784973
040,LPostTemp,EventsOrig,EventsOrig,Perc_photo,Perc_sent,0.9374653426048718
040,LAngG,EventsOrig,EventsOrig,Perc_photo,Perc_sent,-0.235506619455707
040,LIFG_orb,EventsOrig,SWNloc,Sem_sent,S,0.25367890202436677
040,LIFG,EventsOrig,SWNloc,Sem_sent,S,0.7749012787780537
040,LMFG,EventsOrig,SWNloc,Sem_sent,S,0.002772885127116555
040,LAntTemp,EventsOrig,SWNloc,Sem_sent,S,1.0027740756129706
040,LPostTemp,EventsOrig,SWNloc,Sem_sent,S,1.5937401637115554
040,LAngG,EventsOrig,SWNloc,Sem_sent,S,0.28966473819137195
040,LIFG_orb,EventsOrig,SWNloc,Sem_sent,W,0.32183281556953847
040,LIFG,EventsOrig,SWNloc,Sem_sent,W,0.7893731617564611
040,LMFG,EventsOrig,SWNloc,Sem_sent,W,-0.1382851915396587
040,LAntTemp,EventsOrig,SWNloc,Sem_sent,W,1.1153948857523976
040,LPostTemp,EventsOrig,SWNloc,Sem_sent,W,1.5896973258690923
040,LAngG,EventsOrig,SWNloc,Sem_sent,W,0.2227774567563681
040,LIFG_orb,EventsOrig,SWNloc,Sem_sent,N,0.2723340734810691
040,LIFG,EventsOrig,SWNloc,Sem_sent,N,0.7713718678586384
040,LMFG,EventsOrig,SWNloc,Sem_sent,N,-0.438406454204338
040,LAntTemp,EventsOrig,SWNloc,Sem_sent,N,1.148910159280802
040,LPostTemp,EventsOrig,SWNloc,Sem_sent,N,1.4604260414292105
040,LAngG,EventsOrig,SWNloc,Sem_sent,N,0.35571401661410157
040,LIFG_orb,EventsOrig,EventsOrig,Sem_sent,Sem_photo,0.36636637912113457
040,LIFG,EventsOrig,EventsOrig,Sem_sent,Sem_photo,0.6290815309741529
040,LMFG,EventsOrig,EventsOrig,Sem_sent,Sem_photo,0.23098328404766955
040,LAntTemp,EventsOrig,EventsOrig,Sem_sent,Sem_photo,0.9568523602177152
040,LPostTemp,EventsOrig,EventsOrig,Sem_sent,Sem_photo,0.9757984196048322
040,LAngG,EventsOrig,EventsOrig,Sem_sent,Sem_photo,0.18999779070742667
040,LIFG_orb,EventsOrig,EventsOrig,Sem_sent,Perc_photo,0.20533882432180586
040,LIFG,EventsOrig,EventsOrig,Sem_sent,Perc_photo,0.06000610117328767
040,LMFG,EventsOrig,EventsOrig,Sem_sent,Perc_photo,0.18572405887996307
