froi,size,effect_run,froi_run,subject,effect
2,0.1570746539430808,2,orth2,067,S
2,0.34848808712774404,3,orth3,067,S
3,-0.569406185823027,1,orth1,067,S
3,-0.4979554640012793,2,orth2,067,S
3,0.2590415030372242,3,orth3,067,S
4,1.2968500243449532,1,orth1,067,S
4,0.5464053983749771,2,orth2,067,S
4,1.022482809798365,3,orth3,067,S
5,1.6446640747396841,1,orth1,067,S
5,1.995087205067925,2,orth2,067,S
5,1.4045848765450974,3,orth3,067,S
6,-0.757788941163469,1,orth1,067,S
6,-0.2655979477504671,2,orth2,067,S
6,0.5792534843691297,3,orth3,067,S
1,0.4193322294404363,1,orth1,067,W
1,0.6197698674902009,2,orth2,067,W
1,0.7821235689287055,3,orth3,067,W
2,-0.5627930489552702,1,orth1,067,W
2,0.19041554891162288,2,orth2,067,W
2,0.005123082882534989,3,orth3,067,W
3,-0.7860947165172547,1,orth1,067,W
3,-0.7410629261867143,2,orth2,067,W
3,-0.034840296968468465,3,orth3,067,W
4,0.15406637912855256,1,orth1,067,W
4,0.6170918907784555,2,orth2,067,W
4,-0.22687389173016353,3,orth3,067,W
5,0.3406813309892364,1,orth1,067,W
5,1.080840051498102,2,orth2,067,W
5,0.15514326180614854,3,orth3,067,W
6,-1.8834809403161745,1,orth1,067,W
6,-0.20367699277562065,2,orth2,067,W
6,-0.13554239171129223,3,orth3,067,W
1,0.02319979609059943,1,orth1,067,N
1,0.01157818784379736,2,orth2,067,N
1,0.38550171362819013,3,orth3,067,N
2,-0.35351333229078186,1,orth1,067,N
2,0.16727758714895807,2,orth2,067,N
2,0.11747589961619886,3,orth3,067,N
3,-0.7947986719773326,1,orth1,067,N
3,-0.6731411252403632,2,orth2,067,N
3,-0.03498749605205376,3,orth3,067,N
4,-0.07173215450618316,1,orth1,067,N
4,0.6028535818253216,2,orth2,067,N
4,0.32737870324981977,3,orth3,067,N
5,-0.3232207688421983,1,orth1,067,N
5,0.5686820592204838,2,orth2,067,N
5,0.16811689276896094,3,orth3,067,N
6,-1.898823404634321,1,orth1,067,N
6,-0.2790797223915925,2,orth2,067,N
6,0.23735406370581807,3,orth3,067,N
1,1.2819275190145936,1,orth1,068,S
1,1.455770053381265,2,orth2,068,S
1,1.1511682304149797,3,orth3,068,S
2,0.2849260967154412,1,orth1,068,S
2,0.8988229399661959,2,orth2,068,S
2,0.44514051902993224,3,orth3,068,S
