parcel1,froi2,overlap,run1,run2,subject
4,3,0.0,parcels,all,056
4,4,0.0,parcels,all,056
4,5,0.0,parcels,all,056
4,6,0.0,parcels,all,056
4,7,0.0,parcels,all,056
4,8,0.0,parcels,all,056
4,9,0.0,parcels,all,056
4,10,0.0,parcels,all,056
4,11,0.0,parcels,all,056
5,1,0.0,parcels,all,056
5,2,0.0,parcels,all,056
5,3,0.0,parcels,all,056
5,4,0.0,parcels,all,056
5,5,0.0,parcels,all,056
5,6,0.0,parcels,all,056
5,7,0.0,parcels,all,056
5,8,0.0,parcels,all,056
5,9,0.0,parcels,all,056
5,10,0.0,parcels,all,056
5,11,0.0,parcels,all,056
6,1,0.0,parcels,all,056
6,2,0.10344827586206896,parcels,all,056
6,3,0.0,parcels,all,056
6,4,0.0,parcels,all,056
6,5,0.0,parcels,all,056
6,6,0.0,parcels,all,056
6,7,0.0,parcels,all,056
6,8,0.0,parcels,all,056
6,9,0.0,parcels,all,056
6,10,0.0,parcels,all,056
6,11,0.0,parcels,all,056
1,1,0.0,parcels,all,067
1,2,0.0,parcels,all,067
1,3,0.23204419889502761,parcels,all,067
1,4,0.376,parcels,all,067
1,5,0.0,parcels,all,067
1,6,0.0,parcels,all,067
1,7,0.0,parcels,all,067
1,8,0.0,parcels,all,067
1,9,0.0,parcels,all,067
1,10,0.0,parcels,all,067
1,11,0.0,parcels,all,067
2,1,0.0,parcels,all,067
2,2,0.0,parcels,all,067
2,3,0.0,parcels,all,067
2,4,0.0,parcels,all,067
2,5,0.0,parcels,all,067
2,6,0.0,parcels,all,067
2,7,0.0,parcels,all,067
2,8,0.0,parcels,all,067
2,9,0.0,parcels,all,067
2,10,0.0,parcels,all,067
2,11,0.0,parcels,all,067
3,1,0.0,parcels,all,067
3,2,0.0,parcels,all,067
3,3,0.5911602209944752,parcels,all,067
3,4,0.0,parcels,all,067
3,5,0.0,parcels,all,067
3,6,0.0,parcels,all,067
3,7,0.0,parcels,all,067
3,8,0.0,parcels,all,067
3,9,0.0,parcels,all,067
3,10,0.0,parcels,all,067
3,11,0.0,parcels,all,067
4,1,0.6292134831460674,parcels,all,067
4,2,0.04310344827586207,parcels,all,067
4,3,0.0,parcels,all,067
4,4,0.0,parcels,all,067
4,5,0.0,parcels,all,067
4,6,0.0,parcels,all,067
4,7,0.0,parcels,all,067
4,8,0.0,parcels,all,067
4,9,0.0,parcels,all,067
4,10,0.0,parcels,all,067
4,11,0.0,parcels,all,067
5,1,0.0,parcels,all,067
5,2,0.0,parcels,all,067
5,3,0.0,parcels,all,067
5,4,0.0,parcels,all,067
5,5,0.0,parcels,all,067
5,6,0.0,parcels,all,067
5,7,0.0,parcels,all,067
5,8,0.0,parcels,all,067
5,9,0.0,parcels,all,067
5,10,0.0,parcels,all,067
5,11,0.0,parcels,all,067
6,1,0.0,parcels,all,067
6,2,0.6206896551724138,parcels,all,067
6,3,0.0,parcels,all,067
6,4,0.0,parcels,all,067
6,5,0.0,parcels,all,067
6,6,0.0,parcels,all,067
6,7,0.0,parcels,all,067
6,8,0.0,parcels,all,067
6,9,0.0,parcels,all,067
6,10,0.0,parcels,all,067
6,11,0.0,parcels,all,067
1,1,0.0,parcels,all,068
1,2,0.0,parcels,all,068
1,3,0.30939226519337015,parcels,all,068
1,4,0.856,parcels,all,068
1,5,0.0,parcels,all,068
1,6,0.0,parcels,all,068
1,7,0.0,parcels,all,068
1,8,0.0,parcels,all,068
1,9,0.0,parcels,all,068
1,10,0.0,parcels,all,068
1,11,0.0,parcels,all,068
2,1,0.0,parcels,all,068
2,2,0.0,parcels,all,068
2,3,0.0,parcels,all,068
2,4,0.0,parcels,all,068
2,5,0.0,parcels,all,068
2,6,0.0,parcels,all,068
2,7,0.0,parcels,all,068
2,8,0.0,parcels,all,068
2,9,0.0,parcels,all,068
2,10,0.0,parcels,all,068
2,11,0.0,parcels,all,068
3,1,0.0,parcels,all,068
3,2,0.0,parcels,all,068
3,3,0.5082872928176796,parcels,all,068
3,4,0.0,parcels,all,068
3,5,0.0,parcels,all,068
3,6,0.0,parcels,all,068
3,7,0.0,parcels,all,068
3,8,0.0,parcels,all,068
3,9,0.0,parcels,all,068
3,10,0.0,parcels,all,068
3,11,0.0,parcels,all,068
4,1,0.47752808988764045,parcels,all,068
4,2,0.008620689655172414,parcels,all,068
4,3,0.0,parcels,all,068
4,4,0.0,parcels,all,068
4,5,0.0,parcels,all,068
4,6,0.0,parcels,all,068
4,7,0.0,parcels,all,068
4,8,0.0,parcels,all,068
4,9,0.0,parcels,all,068
4,10,0.0,parcels,all,068
4,11,0.0,parcels,all,068
5,1,0.0056179775280898875,parcels,all,068
5,2,0.0,parcels,all,068
5,3,0.0,parcels,all,068
5,4,0.0,parcels,all,068
5,5,0.0,parcels,all,068
5,6,0.0,parcels,all,068
5,7,0.0,parcels,all,068
5,8,0.0,parcels,all,068
5,9,0.0,parcels,all,068
5,10,0.0,parcels,all,068
5,11,0.0,parcels,all,068
6,1,0.0,parcels,all,068
6,2,0.21551724137931033,parcels,all,068
6,3,0.0,parcels,all,068
6,4,0.0,parcels,all,068
6,5,0.0,parcels,all,068
6,6,0.0,parcels,all,068
6,7,0.0,parcels,all,068
6,8,0.0,parcels,all,068
6,9,0.0,parcels,all,068
6,10,0.0,parcels,all,068
6,11,0.0,parcels,all,068
1,1,0.0,parcels,all,019
1,2,0.0,parcels,all,019
1,3,0.049723756906077346,parcels,all,019
1,4,0.448,parcels,all,019
1,5,0.0,parcels,all,019
1,6,0.0,parcels,all,019
1,7,0.0,parcels,all,019
1,8,0.0,parcels,all,019
1,9,0.0,parcels,all,019
1,10,0.0,parcels,all,019
1,11,0.0,parcels,all,019
2,1,0.0,parcels,all,019
2,2,0.0,parcels,all,019
2,3,0.0,parcels,all,019
2,4,0.0,parcels,all,019
2,5,0.0,parcels,all,019
2,6,0.0,parcels,all,019
2,7,0.0,parcels,all,019
2,8,0.0,parcels,all,019
2,9,0.0,parcels,all,019
2,10,0.0,parcels,all,019
2,11,0.0,parcels,all,019
3,1,0.0,parcels,all,019
3,2,0.0,parcels,all,019
3,3,0.5082872928176796,parcels,all,019
3,4,0.0,parcels,all,019
3,5,0.0,parcels,all,019
3,6,0.0,parcels,all,019
3,7,0.0,parcels,all,019
3,8,0.0,parcels,all,019
3,9,0.0,parcels,all,019
3,10,0.0,parcels,all,019
3,11,0.0,parcels,all,019
4,1,0.21910112359550563,parcels,all,019
4,2,0.0,parcels,all,019
4,3,0.0,parcels,all,019
4,4,0.0,parcels,all,019
4,5,0.0,parcels,all,019
4,6,0.0,parcels,all,019
4,7,0.0,parcels,all,019
4,8,0.0,parcels,all,019
4,9,0.0,parcels,all,019
4,10,0.0,parcels,all,019
4,11,0.0,parcels,all,019
5,1,0.0,parcels,all,019
5,2,0.0,parcels,all,019
5,3,0.0,parcels,all,019
5,4,0.0,parcels,all,019
5,5,0.0,parcels,all,019
5,6,0.0,parcels,all,019
5,7,0.0,parcels,all,019
5,8,0.0,parcels,all,019
5,9,0.0,parcels,all,019
5,10,0.0,parcels,all,019
5,11,0.0,parcels,all,019
6,1,0.0,parcels,all,019
6,2,0.008620689655172414,parcels,all,019
6,3,0.0,parcels,all,019
6,4,0.0,parcels,all,019
6,5,0.0,parcels,all,019
6,6,0.0,parcels,all,019
6,7,0.0,parcels,all,019
6,8,0.0,parcels,all,019
6,9,0.0,parcels,all,019
6,10,0.0,parcels,all,019
6,11,0.0,parcels,all,019
1,1,0.0,parcels,all,070
1,2,0.0,parcels,all,070
1,3,0.049723756906077346,parcels,all,070
1,4,0.8,parcels,all,070
1,5,0.0,parcels,all,070
1,6,0.0,parcels,all,070
1,7,0.0,parcels,all,070
1,8,0.0,parcels,all,070
1,9,0.0,parcels,all,070
1,10,0.0,parcels,all,070
1,11,0.0,parcels,all,070
2,1,0.0,parcels,all,070
2,2,0.0,parcels,all,070
2,3,0.0,parcels,all,070
2,4,0.0,parcels,all,070
2,5,0.0,parcels,all,070
2,6,0.0,parcels,all,070
2,7,0.0,parcels,all,070
2,8,0.0,parcels,all,070
2,9,0.0,parcels,all,070
2,10,0.0,parcels,all,070
2,11,0.0,parcels,all,070
3,1,0.0,parcels,all,070
3,2,0.0,parcels,all,070
3,3,0.27071823204419887,parcels,all,070
3,4,0.0,parcels,all,070
3,5,0.0,parcels,all,070
3,6,0.0,parcels,all,070
3,7,0.0,parcels,all,070
3,8,0.0,parcels,all,070
3,9,0.0,parcels,all,070
3,10,0.0,parcels,all,070
3,11,0.0,parcels,all,070
4,1,0.3595505617977528,parcels,all,070
4,2,0.20689655172413793,parcels,all,070
4,3,0.0,parcels,all,070
4,4,0.0,parcels,all,070
4,5,0.0,parcels,all,070
4,6,0.0,parcels,all,070
4,7,0.0,parcels,all,070
4,8,0.0,parcels,all,070
4,9,0.0,parcels,all,070
4,10,0.0,parcels,all,070
4,11,0.0,parcels,all,070
5,1,0.0056179775280898875,parcels,all,070
5,2,0.0,parcels,all,070
5,3,0.0,parcels,all,070
5,4,0.0,parcels,all,070
5,5,0.0,parcels,all,070
5,6,0.0,parcels,all,070
5,7,0.0,parcels,all,070
5,8,0.0,parcels,all,070
5,9,0.0,parcels,all,070
5,10,0.0,parcels,all,070
5,11,0.0,parcels,all,070
6,1,0.0,parcels,all,070
6,2,0.3017241379310345,parcels,all,070
6,3,0.0,parcels,all,070
6,4,0.0,parcels,all,070
6,5,0.0,parcels,all,070
6,6,0.0,parcels,all,070
6,7,0.0,parcels,all,070
6,8,0.0,parcels,all,070
