subject,group1,group2,froi1,froi2,overlap
040,1,1,TP3,Cer1,0.0
040,1,1,TP3,TP4,0.0
040,1,1,TP3,F3,0.0
040,1,1,TP3,TP1,0.0
040,1,1,TP3,O1,0.0
040,1,1,TP3,Cer2,0.0
040,1,1,TP3,O2,0.0
040,1,1,TP2,F2,0.0
040,1,1,TP2,F1,0.0
040,1,1,TP2,TP3,0.0
040,1,1,TP2,TP2,0.352
040,1,1,TP2,Cer1,0.0
040,1,1,TP2,TP4,0.0
040,1,1,TP2,F3,0.0
040,1,1,TP2,TP1,0.0
040,1,1,TP2,O1,0.0
040,1,1,TP2,Cer2,0.0
040,1,1,TP2,O2,0.0
040,1,1,Cer1,F2,0.0
040,1,1,Cer1,F1,0.0
040,1,1,Cer1,TP3,0.0
040,1,1,Cer1,TP2,0.0
040,1,1,Cer1,Cer1,0.07627118644067797
040,1,1,Cer1,TP4,0.0
040,1,1,Cer1,F3,0.0
040,1,1,Cer1,TP1,0.0
040,1,1,Cer1,O1,0.0
040,1,1,Cer1,Cer2,0.0
040,1,1,Cer1,O2,0.0
040,1,1,TP4,F2,0.0
040,1,1,TP4,F1,0.0
040,1,1,TP4,TP3,0.0
040,1,1,TP4,TP2,0.0
040,1,1,TP4,Cer1,0.0
040,1,1,TP4,TP4,0.20408163265306123
040,1,1,TP4,F3,0.0
040,1,1,TP4,TP1,0.0
040,1,1,TP4,O1,0.0
040,1,1,TP4,Cer2,0.0
040,1,1,TP4,O2,0.0
040,1,1,F3,F2,0.0
040,1,1,F3,F1,0.0
040,1,1,F3,TP3,0.0
040,1,1,F3,TP2,0.0
040,1,1,F3,Cer1,0.0
040,1,1,F3,TP4,0.0
040,1,1,F3,F3,0.10869565217391304
040,1,1,F3,TP1,0.0
040,1,1,F3,O1,0.0
040,1,1,F3,Cer2,0.0
040,1,1,F3,O2,0.0
040,1,1,TP1,F2,0.0
040,1,1,TP1,F1,0.0
040,1,1,TP1,TP3,0.0
040,1,1,TP1,TP2,0.0
040,1,1,TP1,Cer1,0.0
040,1,1,TP1,TP4,0.0
040,1,1,TP1,F3,0.0
040,1,1,TP1,TP1,0.2616822429906542
040,1,1,TP1,O1,0.0
040,1,1,TP1,Cer2,0.0
040,1,1,TP1,O2,0.0
040,1,1,O1,F2,0.0
040,1,1,O1,F1,0.0
040,1,1,O1,TP3,0.0
040,1,1,O1,TP2,0.0
040,1,1,O1,Cer1,0.0
040,1,1,O1,TP4,0.0
040,1,1,O1,F3,0.0
040,1,1,O1,TP1,0.0
040,1,1,O1,O1,0.27692307692307694
040,1,1,O1,Cer2,0.0
040,1,1,O1,O2,0.0
040,1,1,Cer2,F2,0.0
040,1,1,Cer2,F1,0.0
040,1,1,Cer2,TP3,0.0
040,1,1,Cer2,TP2,0.0
040,1,1,Cer2,Cer1,0.0
040,1,1,Cer2,TP4,0.0
040,1,1,Cer2,F3,0.0
040,1,1,Cer2,TP1,0.0
040,1,1,Cer2,O1,0.0
040,1,1,Cer2,Cer2,0.06896551724137931
040,1,1,Cer2,O2,0.0
040,1,1,O2,F2,0.0
040,1,1,O2,F1,0.0
040,1,1,O2,TP3,0.0
040,1,1,O2,TP2,0.0
040,1,1,O2,Cer1,0.0
040,1,1,O2,TP4,0.0
040,1,1,O2,F3,0.0
040,1,1,O2,TP1,0.0
040,1,1,O2,O1,0.0
040,1,1,O2,Cer2,0.0
040,1,1,O2,O2,0.41818181818181815
040,1,2,F2,F2,0.1797752808988764
040,1,2,F2,F1,0.0
040,1,2,F2,TP3,0.0
040,1,2,F2,TP2,0.0
040,1,2,F2,Cer1,0.0
040,1,2,F2,TP4,0.0
040,1,2,F2,F3,0.0
040,1,2,F2,TP1,0.0
040,1,2,F2,O1,0.0
040,1,2,F2,Cer2,0.0
040,1,2,F2,O2,0.0
040,1,2,F1,F2,0.0
040,1,2,F1,F1,0.1336206896551724
040,1,2,F1,TP3,0.0
040,1,2,F1,TP2,0.0
040,1,2,F1,Cer1,0.0
040,1,2,F1,TP4,0.0
040,1,2,F1,F3,0.0
040,1,2,F1,TP1,0.0
040,1,2,F1,O1,0.0
040,1,2,F1,Cer2,0.0
040,1,2,F1,O2,0.0
040,1,2,TP3,F2,0.0
040,1,2,TP3,F1,0.0
040,1,2,TP3,TP3,0.13535911602209943
040,1,2,TP3,TP2,0.0
040,1,2,TP3,Cer1,0.0
040,1,2,TP3,TP4,0.0
040,1,2,TP3,F3,0.0
040,1,2,TP3,TP1,0.0
040,1,2,TP3,O1,0.0
040,1,2,TP3,Cer2,0.0
040,1,2,TP3,O2,0.0
040,1,2,TP2,F2,0.0
040,1,2,TP2,F1,0.0
040,1,2,TP2,TP3,0.0
040,1,2,TP2,TP2,0.072
